Player,Position,Probability,Detailed position,Number,Birth date,Age,Caps,Weight (KG),Height (cm),Birth place,National team,Continent / Region,Team,Country of current team,Continent of current team / Region,Won the World Cup?,How many times played the World Cup? (including this one),Has ever won Champions League?,Previous teams?
Alisson,Goalkeeper,0.001666047407,,1,2/10/1992,30,56,,191,Brazil,Brazil,South America,Liverpool,England,Europe,0,,,Internacional (BRA)
Ederson,Goalkeeper,0.005412746407,,,17/08/1993,29,18,,188,Brazil,Brazil,South America,Manchester City,England,Europe,0,,,
Weverton,Goalkeeper,0.001815249946,,,13/12/1987,34,11,89,189,Brazil,Brazil,South America,Palmeiras,Brazil,South America,0,,,
Alex Sandro,Defender,0.005548488358,Right/Left Back,,26/01/1991,31,37,,,Brazil,Brazil,South America,Juventus,Italy,Europe,0,,,
Alex Telles,Defender,0.001465205318,Right/Left Back,,15/12/1992,29,7,,,Brazil,Brazil,South America,Sevilla,Spain,Europe,0,,,
Dani Alves,Defender,0.005857339145,Right/Left Back,,6/5/1983,39,125,,172,Brazil,Brazil,South America,Pumas,Mexico,North America,0,3,,
Danilo,Defender,0.004469139233,Right/Left Back,,15/7/1991,31,15,,,Brazil,Brazil,South America,Juventus,Italy,Europe,0,,,
Bremer,Defender,0.003853998215,,,18/03/1997,25,1,,,Brazil,Brazil,South America,Juventus,Italy,Europe,0,,,
Éder Militão,Defender,0.00300952872,,,18/01/1998,24,23,,,Brazil,Brazil,South America,Real Madrid,Spain,Europe,0,,,
Marquinhos,Defender,0.00122716118,,,14/05/1994,28,70,,,Brazil,Brazil,South America,Paris Saint Germain,France,Europe,0,,,
Thiago Silva,Defender,0.004287189437,,,22/09/1984,38,108,,,Brazil,Brazil,South America,Chelsea,England,Europe,0,3,,
Bruno Guimarães,Midfielder,0.00228128349,,,16/11/1997,24,8,,,Brazil,Brazil,South America,Newcastle,England,Europe,0,,,
Casemiro,Midfielder,0.0062372635,,,23/02/1992,30,64,,,Brazil,Brazil,South America,Manchester United,England,Europe,0,,,
Everton Ribeiro,Midfielder,0.006084569729,,,10/04/1989,33,22,,,Brazil,Brazil,South America,Flamengo,Brazil,South America,0,,,
Fabinho,Midfielder,0.004220442747,,,23/10/1993,29,28,,,Brazil,Brazil,South America,Liverpool,England,Europe,0,,,
Fred,Midfielder,0.005017915231,,,05/03/1993,29,27,,,Brazil,Brazil,South America,Manchester United,England,Europe,0,,,
Lucas Paquetá,Midfielder,0.003410686004,,,27/08/1997,25,34,,,Brazil,Brazil,South America,West Ham United,England,Europe,0,,,
Antony,Forward,0.004950709815,,,24/02/2000,22,10,,,Brazil,Brazil,South America,Manchester United,England,Europe,0,,,
Gabriel Jesus,Forward,0.005147205213,,,03/04/1997,25,56,,,Brazil,Brazil,South America,Arsenal,England,Europe,0,2,,
Gabriel Martinelli,Forward,0.001662533418,,,18/06/2001,21,3,,,Brazil,Brazil,South America,Arsenal,England,Europe,0,,,
"Neymar Jr.,Forward,0.005264696306,,10,05/02/1992,30,120,,,Brazil,Brazil,South America,Paris Saint Germain,France,Europe,0,3,,""Santos (BRA), Barcelona (ESP)"""
Pedro,Forward,0.001156518469,,,20/06/1997,25,2,,,Brazil,Brazil,South America,Flamengo,Brazil,South America,0,,,
Raphinha,Forward,0.001620246441,,,14/12/1996,25,10,,,Brazil,Brazil,South America,Barcelona,Spain,Europe,0,,,
Richarlison,Forward,0.001696046864,,,10/05/1997,25,37,,,Brazil,Brazil,South America,Tottenham,England,Europe,0,,,
Rodrygo,Forward,0.004094216045,,,09/01/2001,21,6,,,Brazil,Brazil,South America,Real Madrid,Spain,Europe,0,,,
Vinicius Jr.,Forward,0.002684131861,,,12/07/2000,22,15,,,Brazil,Brazil,South America,Real Madrid,Spain,Europe,0,,,
"Tite,Coach,0.002783684881,,,,122,,,,Brazil,Brazil,South America,,,,0,2,0,""Corinthians (BR), Grêmio (BR)"""
Kasper Schmeichel,Goalkeeper,0.003629294396,,,05/11/1986,35,86,,,Denmark,Denmark,Europe,Nice,France,Europe,0,,,
Oliver Christensen,Goalkeeper,0.005493223658,,,22/03/1999,23,1,,,Denmark,Denmark,Europe,Hertha Berlin,Germany,Europe,0,,,
Andreas Christensen,Defender,0.003006176679,,,10/04/1996,26,58,,,Denmark,Denmark,Europe,Barcelona,Spain,Europe,0,,,
Simon Kjaer,Defender,0.003491934309,,,26/03/1989,33,121,,,Denmark,Denmark,Europe,AC Milan,Italy,Europe,0,,,
Jens Larsen,Defender,0.004243537751,,,21/02/1991,31,49,,,Denmark,Denmark,Europe,Trabzonspor,Turkey,Europe,0,,,
Joachim Andersen,Defender,0.006085688689,,,31/05/1996,26,19,,,Denmark,Denmark,Europe,Crystal Palace,England,Europe,0,,,
Victor Nelsson,Defender,0.003542207537,,,14/10/1998,24,7,,,Denmark,Denmark,Europe,Galatasaray,Turkey,Europe,0,,,
Rasmus Kristensen,Defender,0.00484670185,,,11/07/1997,25,10,,,Denmark,Denmark,Europe,Leeds United,England,Europe,0,,,
Joakim Maehle,Defender,0.001842312537,,,20/05/1997,25,31,,,Denmark,Denmark,Europe,Atalanta,Italy,Europe,0,,,
Daniel Wass,Midfielder,0.004559329309,,,31/05/1989,33,44,,,Denmark,Denmark,Europe,Brondby,Denmark,Europe,0,,,
Thomas Delaney,Midfielder,0.004237271328,,,03/09/1991,26,20,,,Denmark,Denmark,Europe,Sevilla,Spain,Europe,0,,,
Christian Eriksen,Midfielder,0.002904525133,,,14/02/1992,30,117,,,Denmark,Denmark,Europe,Manchester United,England,Europe,0,,,
Pierre-Emile Hojbjerg,Midfielder,0.001819070133,,,05/08/1995,27,60,,,Denmark,Denmark,Europe,Tottenham,England,Europe,0,,,
Mathias Jensen,Midfielder,0.003207497521,,,01/01/1996,26,20,,,Denmark,Denmark,Europe,Brentford,England,Europe,0,,,
Mikkel Damsgaard,Midfielder,0.00374118123,,,03/07/2000,22,18,,,Denmark,Denmark,Europe,Brentford,England,Europe,0,,,
Jesper Lindstrom,Midfielder,0.001480907057,,,29/02/2000,22,6,,,Denmark,Denmark,Europe,Eintracht Frankfurt,Germany,Europe,0,,,
Jonas Wind,Forward,0.003155033705,,,07/02/1999,23,15,,,Denmark,Denmark,Europe,Wolfsburg,Germany,Europe,0,,,
Andreas Cornelius,Forward,0.004269612152,,,12/03/1993,29,41,,,Denmark,Denmark,Europe,Copenhagen,Denmark,Europe,0,,,
Andreas Olsen,Forward,0.001489395244,,,29/12/1999,22,23,,,Denmark,Denmark,Europe,Club Brugge,Belgium,Europe,0,,,
Martin Braithwaite,Forward,0.0008575359957,,,05/06/1991,31,62,,,Denmark,Denmark,Europe,Espanyol,Spain,Europe,0,,,
Kasper Dolberg,Forward,0.0006848492616,,,06/10/1997,25,37,,,Denmark,Denmark,Europe,Sevilla,Spain,Europe,0,,,
Kasper Hjulmand,Coach,0.003813179709,,,9/4/1972,50,,,,Denmark,Denmark,Europe,,,,0,1,,
Eiji Kawashima,Goalkeeper,0.004898348657,,,20/3/1983,39,95,,185,Japan,Japan,Asia,Strasbourg,France,Europe,0,,,
Shuichi Gonda,Goalkeeper,0.005989169433,,,3/3/1989,33,33,,187,Japan,Japan,Asia,Shimizu S-Pulse,Japan,Asia,0,,,
Daniel Schmidt,Goalkeeper,0.005180508132,,,3/2/1992,30,11,,197,USA,Japan,Asia,Sint-Truiden,Belgium,Europe,0,,,
Yuto Nagatomo,Defender,0.003928505811,,,12/9/1986,36,137,,170,Japan,Japan,Asia,Tokyo,Japan,Asia,0,,,
Maya Yoshida,Defender,0.001866118123,,,24/8/1988,34,121,,189,Japan,Japan,Asia,Schalke,Germany,Europe,0,,,
Hiroki Sakai,Defender,0.004270222001,,,12/4/1990,32,71,,185,Japan,Japan,Asia,Urawa Red Diamonds,Japan,Asia,0,,,
Takehiro Tomiyasu,Defender,0.005219285516,,,5/11/1998,24,29,,188,Japan,Japan,Asia,Arsenal,England,Europe,0,,,
Miki Yamane,Defender,0.003425627461,,,22/12/1993,28,14,,178,Japan,Japan,Asia,Kawasaki Frontale,Japan,Asia,0,,,
Shogo Taniguchi,Defender,0.002204156543,,,15/7/1991,31,13,,183,Japan,Japan,Asia,Kawasaki Frontale,Japan,Asia,0,,,
Ko Itakura,Defender,0.004860430812,,,27/1/1987,35,12,,188,Japan,Japan,Asia,Borussia Monchengladbach,Germany,Europe,0,,,
Hiroki Ito,Defender,0.005642695253,,,12/5/1999,23,5,,188,Japan,Japan,Asia,Stuttgart,Germany,Europe,0,,,
Gaku Shibasaki,Midfielder,0.004169883107,,,28/5/1992,30,59,,175,Japan,Japan,Asia,Leganes,Spain,Europe,0,,,
Wataru Endo,Midfielder,0.004937721897,,,9/2/1993,29,43,,178,Japan,Japan,Asia,Stuttgart,Germany,Europe,0,,,
Takumi Minamino,Midfielder,0.001965359959,,,16/1/1995,27,43,,,,Japan,Asia,Monaco,France,Europe,0,,,
Junya Ito,Midfielder,0.005954356008,,,9/3/1993,29,38,,,,Japan,Asia,Reims,France,Europe,0,,,
Ritsu Doan,Midfielder,0.002659482229,,,,24,28,,,,Japan,Asia,Freiburg,Germany,Europe,0,,,
Daichi Kamada,Midfielder,0.00457845214,,,5/8/1996,26,21,,,,Japan,Asia,Eintracht Frankfurt,Germany,Europe,0,,,
Takefusa Kubo,Midfielder,0.001402310671,,,4/5/2001,21,19,,,,Japan,Asia,Real Sociedad,Spain,Europe,0,,,
Hidemasa Morita,Midfielder,0.002072268761,,,10/5/1995,27,17,,,,Japan,Asia,Sporting,Portugal,Europe,0,,,
Ao Tanaka,Midfielder,0.0007307837746,,,10/9/1998,24,14,,,,Japan,Asia,Fortuna Dusseldorf,Germany,Europe,0,,,
Kaoru Mitoma,Midfielder,0.002286698569,,,,25,9,,,,Japan,Asia,Brighton,England,Europe,0,,,
Yuki Soma,Midfielder,0.00354532467,,,25/02/1997,25,7,,,,Japan,Asia,Nagoya Grampus,Japan,Asia,0,,,
Takuma Asano,Forward,0.003260716579,,,10/11/1994,27,36,,,,Japan,Asia,Bochum,Germany,Europe,0,,,
Ayase Ueda,Forward,8.73E-04,,,28/08/1998,24,10,,,,Japan,Asia,Club Brugge,Belgium,Europe,0,,,
Daizen Maeda,Forward,0.004249707158,,,20/10/1997,25,8,,,,Japan,Asia,Celtic,Scotland,Europe,0,,,
Shuto Machino,Forward,0.004165662316,,,30/09/1999,23,4,,,,Japan,Asia,Shonan Bellmare,Japan,Asia,0,,,
Hajime Moriyasu,Coach,0.0008986984368,,,23/08/1968,54,,,174,Japan,Japan,Asia,,,,0,1,,
Esteban Alvarado,Goalkeeper,0.00345746537,,,28/04/1989,33,24,,,,Costa Rica,Central America,Herediano,Costa Rica,Central America,0,,,
Keylor Navas,Goalkeeper,0.00484501641,,,15/12/1986,35,107,,,,Costa Rica,Central America,PSG,France,Europe,0,,,
Patrick Sequeira,Goalkeeper,0.006160141259,,,01/03/1999,23,2,,,,Costa Rica,Central America,CD Lugo,Spain,Europe,0,,,
Francisco Calvo,Defender,0.0006334397344,,,08/07/1992,30,75,,,,Costa Rica,Central America,Konyaspor,Turkey,Europe,0,,,
Daniel Chacon,Defender,0.003888552237,,,11/04/2001,21,8,,,,Costa Rica,Central America,Colorado Rapids,USA,North America,0,,,
Oscar Duarte,Defender,0.003237436587,,,03/06/1989,33,70,,,Nicaragua,Costa Rica,Central America,Al-Wehda,Saudi Arabia,Middle East,0,,,
Keysher Fuller,Defender,0.004894982857,,,12/07/1994,28,29,,,,Costa Rica,Central America,Herediano,Costa Rica,Central America,0,,,
