Player,Position,Probability,Detailed position,Number,Birth date,Age,Caps,Weight (KG),Height (cm),Birth place,National team,Continent / Region,Team,Country of current team,Continent of current team / Region,Won the World Cup?,How many times played the World Cup? (including this one),Has ever won Champions League?,Previous teams?
Alisson,Goalkeeper,0.001666047,,1,02/10/1992,30,56,,191,Brazil,Brazil,South America,Liverpool,England,Europe,0,,,Internacional (BRA)
Ederson,Goalkeeper,0.005412746,,,17/08/1993,29,18,,188,Brazil,Brazil,South America,Manchester City,England,Europe,0,,,
Weverton,Goalkeeper,0.00181525,,,13/12/1987,34,11,89,189,Brazil,Brazil,South America,Palmeiras,Brazil,South America,0,,,
Alex Sandro,Defender,0.005548488,Right/Left Back,,26/01/1991,31,37,,,Brazil,Brazil,South America,Juventus,Italy,Europe,0,,,
Alex Telles,Defender,0.001465205,Right/Left Back,,15/12/1992,29,7,,,Brazil,Brazil,South America,Sevilla,Spain,Europe,0,,,
Dani Alves,Defender,0.005857339,Right/Left Back,,06/05/1983,39,125,,172,Brazil,Brazil,South America,Pumas,Mexico,North America,0,3,,
Danilo,Defender,0.004469139,Right/Left Back,,15/07/1991,31,15,,,Brazil,Brazil,South America,Juventus,Italy,Europe,0,,,
Bremer,Defender,0.003853998,,,18/03/1997,25,1,,,Brazil,Brazil,South America,Juventus,Italy,Europe,0,,,
Éder Militão,Defender,0.003009529,,,18/01/1998,24,23,,,Brazil,Brazil,South America,Real Madrid,Spain,Europe,0,,,
Marquinhos,Defender,0.001227161,,,14/05/1994,28,70,,,Brazil,Brazil,South America,Paris Saint Germain,France,Europe,0,,,
Thiago Silva,Defender,0.004287189,,,22/09/1984,38,108,,,Brazil,Brazil,South America,Chelsea,England,Europe,0,3,,
Bruno Guimarães,Midfielder,0.002281283,,,16/11/1997,24,8,,,Brazil,Brazil,South America,Newcastle,England,Europe,0,,,
Casemiro,Midfielder,0.006237264,,,23/02/1992,30,64,,,Brazil,Brazil,South America,Manchester United,England,Europe,0,,,
Everton Ribeiro,Midfielder,0.00608457,,,10/04/1989,33,22,,,Brazil,Brazil,South America,Flamengo,Brazil,South America,0,,,
Fabinho,Midfielder,0.004220443,,,23/10/1993,29,28,,,Brazil,Brazil,South America,Liverpool,England,Europe,0,,,
Fred,Midfielder,0.005017915,,,05/03/1993,29,27,,,Brazil,Brazil,South America,Manchester United,England,Europe,0,,,
Lucas Paquetá,Midfielder,0.003410686,,,27/08/1997,25,34,,,Brazil,Brazil,South America,West Ham United,England,Europe,0,,,
